City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,tolmin,SI,46.183,13.7332,67.89,74,31,4.16,scattered clouds
299,vanavara,RU,60.34,102.2797,62.67,53,98,5.32,overcast clouds
300,purranque,CL,-40.9167,-73.1667,47.53,86,100,5.64,overcast clouds
301,ambilobe,MG,-13.2,49.05,66.16,86,24,3.44,few clouds
302,xiaoweizhai,CN,26.1903,107.5125,67.46,98,100,3.56,overcast clouds
303,raga,SS,8.4596,25.678,69.85,91,70,3.89,light rain
304,kutum,SD,14.2,24.6667,77.23,45,82,3.76,broken clouds
305,tabory,RU,58.5198,64.5495,50.79,97,100,7.02,overcast clouds
306,teya,RU,60.3778,92.6267,63.73,80,81,3.69,broken clouds
307,bukachacha,RU,52.9833,116.9167,60.55,78,100,3.11,light rain
308,bandrele,YT,-12.9067,45.1914,76.75,83,0,8.05,clear sky
309,kuching,MY,1.55,110.3333,77.22,94,40,5.01,scattered clouds
310,beloha,MG,-25.1667,45.05,60.37,74,0,8.63,clear sky
311,porbandar,IN,21.6422,69.6093,83.46,73,59,4.45,broken clouds
312,yaan,NG,7.3833,8.5667,73.47,91,89,4.38,overcast clouds
313,winneba,GH,5.3511,-0.6231,75.87,84,49,7.16,scattered clouds
314,nkan,GA,0.3833,9.7833,73.99,94,100,0.54,light rain
315,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,61.39,36,0,8.95,clear sky
316,te anau,NZ,-45.4167,167.7167,36.93,99,98,1.39,light rain
317,norman wells,CA,65.282,-126.8329,41.04,93,100,10.36,light intensity shower rain
318,palmas,BR,-10.2128,-48.3603,80.47,74,0,4.61,clear sky
319,demba,CD,-5.51,22.2667,72.45,54,84,1.23,broken clouds
320,olinda,BR,-8.0089,-34.8553,78.53,83,20,6.91,few clouds
321,alindao,CF,5.0267,21.2088,68.94,99,100,2.57,light rain
322,mayo,US,38.8876,-76.5119,80.71,78,0,11.5,clear sky
